,t,v
571,22.86286286,0.713713714
572,22.9029029,0.70970971
573,22.94294294,0.705705706
574,22.98298298,0.701701702
575,23.02302302,0.697697698
576,23.06306306,0.693693694
577,23.1031031,0.68968969
578,23.14314314,0.685685686
579,23.18318318,0.681681682
580,23.22322322,0.677677678
581,23.26326326,0.673673674
582,23.3033033,0.66966967
583,23.34334334,0.665665666
584,23.38338338,0.661661662
585,23.42342342,0.657657658
586,23.46346346,0.653653654
587,23.5035035,0.64964965
588,23.54354354,0.645645646
589,23.58358358,0.641641642
590,23.62362362,0.637637638
591,23.66366366,0.633633634
592,23.7037037,0.62962963
593,23.74374374,0.625625626
594,23.78378378,0.621621622
595,23.82382382,0.617617618
596,23.86386386,0.613613614
597,23.9039039,0.60960961
598,23.94394394,0.605605606
599,23.98398398,0.601601602
600,24.02402402,0.597597598
601,24.06406406,0.593593594
602,24.1041041,0.58958959
603,24.14414414,0.585585586
604,24.18418418,0.581581582
605,24.22422422,0.577577578
606,24.26426426,0.573573574
607,24.3043043,0.56956957
608,24.34434434,0.565565566
609,24.38438438,0.561561562
610,24.42442442,0.557557558
611,24.46446446,0.553553554
612,24.5045045,0.54954955
613,24.54454454,0.545545546
614,24.58458458,0.541541542
615,24.62462462,0.537537538
616,24.66466466,0.533533534
617,24.7047047,0.52952953
618,24.74474474,0.525525526
619,24.78478478,0.521521522
620,24.82482482,0.517517518
621,24.86486486,0.513513514
622,24.9049049,0.50950951
623,24.94494494,0.505505506
624,24.98498498,0.501501502
625,25.02502503,0.497497497
626,25.06506507,0.493493493
627,25.10510511,0.489489489
628,25.14514515,0.485485485
629,25.18518519,0.481481481
630,25.22522523,0.477477477
631,25.26526527,0.473473473
632,25.30530531,0.469469469
633,25.34534535,0.465465465
634,25.38538539,0.461461461
635,25.42542543,0.457457457
636,25.46546547,0.453453453
637,25.50550551,0.449449449
638,25.54554555,0.445445445
639,25.58558559,0.441441441
640,25.62562563,0.437437437
641,25.66566567,0.433433433
642,25.70570571,0.429429429
643,25.74574575,0.425425425
644,25.78578579,0.421421421
645,25.82582583,0.417417417
646,25.86586587,0.413413413
647,25.90590591,0.409409409
648,25.94594595,0.405405405
649,25.98598599,0.401401401
650,26.02602603,0.397397397
651,26.06606607,0.393393393
652,26.10610611,0.389389389
653,26.14614615,0.385385385
654,26.18618619,0.381381381
655,26.22622623,0.377377377
656,26.26626627,0.373373373
657,26.30630631,0.369369369
658,26.34634635,0.365365365
659,26.38638639,0.361361361
660,26.42642643,0.357357357
661,26.46646647,0.353353353
662,26.50650651,0.349349349
663,26.54654655,0.345345345
664,26.58658659,0.341341341
665,26.62662663,0.337337337
666,26.66666667,0.333333333
667,26.70670671,0.329329329
668,26.74674675,0.325325325
669,26.78678679,0.321321321
670,26.82682683,0.317317317
671,26.86686687,0.313313313
672,26.90690691,0.309309309
673,26.94694695,0.305305305
674,26.98698699,0.301301301
675,27.02702703,0.297297297
676,27.06706707,0.293293293
677,27.10710711,0.289289289
678,27.14714715,0.285285285
679,27.18718719,0.281281281
680,27.22722723,0.277277277
681,27.26726727,0.273273273
682,27.30730731,0.269269269
683,27.34734735,0.265265265
684,27.38738739,0.261261261
685,27.42742743,0.257257257
686,27.46746747,0.253253253
687,27.50750751,0.249249249
688,27.54754755,0.245245245
689,27.58758759,0.241241241
690,27.62762763,0.237237237
691,27.66766767,0.233233233
692,27.70770771,0.229229229
693,27.74774775,0.225225225
694,27.78778779,0.221221221
695,27.82782783,0.217217217
696,27.86786787,0.213213213
697,27.90790791,0.209209209
698,27.94794795,0.205205205
699,27.98798799,0.201201201
700,28.02802803,0.197197197
701,28.06806807,0.193193193
702,28.10810811,0.189189189
703,28.14814815,0.185185185
704,28.18818819,0.181181181
705,28.22822823,0.177177177
706,28.26826827,0.173173173
707,28.30830831,0.169169169
708,28.34834835,0.165165165
709,28.38838839,0.161161161
710,28.42842843,0.157157157
711,28.46846847,0.153153153
712,28.50850851,0.149149149
713,28.54854855,0.145145145
714,28.58858859,0.141141141
